category,fiscal_month,amount
real_estate_tax,1,9.8
total_wage_earnings_net_profits,1,166.3
realty_transfer_tax,1,29.7
sales_tax,1,32.8
business_income_and_receipts_tax,1,23.5
beverage_tax,1,6.3
other_taxes,1,-3.7
locally_generated_nontax,1,43.1
total_other_governments,1,1.3
total_pica_other_governments,1,50.2
interfund_transfers,1,0.0
total_current_revenue,1,359.5
collection_of_prior_year_revenue,1,22.2
other_fund_balance_adjustments,1,0.0
total_cash_receipts,1,381.7
real_estate_tax,2,2.6
total_wage_earnings_net_profits,2,130.8
realty_transfer_tax,2,23.8
sales_tax,2,39.9
business_income_and_receipts_tax,2,6.4
beverage_tax,2,5.9
other_taxes,2,10.8
locally_generated_nontax,2,39.8
total_other_governments,2,72.6
total_pica_other_governments,2,56.0
interfund_transfers,2,0.0
total_current_revenue,2,388.5
collection_of_prior_year_revenue,2,0.0
other_fund_balance_adjustments,2,0.0
total_cash_receipts,2,388.5
real_estate_tax,3,7.3
total_wage_earnings_net_profits,3,131.8
realty_transfer_tax,3,23.8
sales_tax,3,16.1
business_income_and_receipts_tax,3,30.3
beverage_tax,3,6.3
other_taxes,3,8.5
locally_generated_nontax,3,45.6
total_other_governments,3,100.4
total_pica_other_governments,3,53.4
interfund_transfers,3,0.0
total_current_revenue,3,423.4
collection_of_prior_year_revenue,3,0.0
other_fund_balance_adjustments,3,0.0
total_cash_receipts,3,423.4
real_estate_tax,4,10.3
total_wage_earnings_net_profits,4,180.8
realty_transfer_tax,4,20.7
sales_tax,4,0.0
business_income_and_receipts_tax,4,34.9
beverage_tax,4,5.9
other_taxes,4,4.4
locally_generated_nontax,4,25.4
total_other_governments,4,29.4
total_pica_other_governments,4,54.5
interfund_transfers,4,0.0
total_current_revenue,4,366.3
collection_of_prior_year_revenue,4,-32.0
other_fund_balance_adjustments,4,0.0
total_cash_receipts,4,334.3
real_estate_tax,5,6.8
total_wage_earnings_net_profits,5,139.4
realty_transfer_tax,5,18.5
sales_tax,5,34.5
business_income_and_receipts_tax,5,-8.6
beverage_tax,5,5.4
other_taxes,5,4.5
locally_generated_nontax,5,37.2
total_other_governments,5,66.8
total_pica_other_governments,5,48.1
interfund_transfers,5,0.0
total_current_revenue,5,352.5
collection_of_prior_year_revenue,5,0.0
other_fund_balance_adjustments,5,0.0
total_cash_receipts,5,352.5
real_estate_tax,6,36.8
total_wage_earnings_net_profits,6,145.6
realty_transfer_tax,6,16.2
sales_tax,6,16.1
business_income_and_receipts_tax,6,22.8
beverage_tax,6,5.7
other_taxes,6,3.7
locally_generated_nontax,6,35.1
total_other_governments,6,6.9
total_pica_other_governments,6,51.5
interfund_transfers,6,0.0
total_current_revenue,6,340.4
collection_of_prior_year_revenue,6,0.0
other_fund_balance_adjustments,6,0.0
total_cash_receipts,6,340.4
real_estate_tax,7,48.3
total_wage_earnings_net_profits,7,202.0
realty_transfer_tax,7,23.0
sales_tax,7,15.6
business_income_and_receipts_tax,7,18.6
beverage_tax,7,6.8
other_taxes,7,1.8
locally_generated_nontax,7,17.9
total_other_governments,7,19.6
total_pica_other_governments,7,67.2
interfund_transfers,7,390.8
total_current_revenue,7,811.5
collection_of_prior_year_revenue,7,0.0
other_fund_balance_adjustments,7,0.0
total_cash_receipts,7,811.5
real_estate_tax,8,68.3
total_wage_earnings_net_profits,8,131.3
realty_transfer_tax,8,18.4
sales_tax,8,20.6
business_income_and_receipts_tax,8,9.2
beverage_tax,8,5.1
other_taxes,8,1.6
locally_generated_nontax,8,41.5
total_other_governments,8,15.7
total_pica_other_governments,8,49.6
interfund_transfers,8,0.0
total_current_revenue,8,361.3
collection_of_prior_year_revenue,8,0.0
other_fund_balance_adjustments,8,0.0
total_cash_receipts,8,361.3
real_estate_tax,9,239.5
total_wage_earnings_net_profits,9,154.1
realty_transfer_tax,9,20.0
sales_tax,9,21.3
business_income_and_receipts_tax,9,46.2
beverage_tax,9,5.3
other_taxes,9,2.6
locally_generated_nontax,9,33.4
total_other_governments,9,0.8
total_pica_other_governments,9,51.1
interfund_transfers,9,0.0
total_current_revenue,9,574.1
collection_of_prior_year_revenue,9,0.0
other_fund_balance_adjustments,9,0.0
total_cash_receipts,9,574.1
real_estate_tax,10,376.9
total_wage_earnings_net_profits,10,211.6
realty_transfer_tax,10,22.4
sales_tax,10,32.4
business_income_and_receipts_tax,10,392.6
beverage_tax,10,5.9
other_taxes,10,2.0
locally_generated_nontax,10,46.4
total_other_governments,10,14.2
total_pica_other_governments,10,98.1
interfund_transfers,10,0.0
total_current_revenue,10,1202.5
collection_of_prior_year_revenue,10,0.0
other_fund_balance_adjustments,10,0.0
total_cash_receipts,10,1202.5
real_estate_tax,11,8.3
total_wage_earnings_net_profits,11,154.2
realty_transfer_tax,11,22.7
sales_tax,11,35.5
business_income_and_receipts_tax,11,47.4
beverage_tax,11,6.3
other_taxes,11,5.3
locally_generated_nontax,11,22.9
total_other_governments,11,26.3
total_pica_other_governments,11,74.9
interfund_transfers,11,0.0
total_current_revenue,11,403.8
collection_of_prior_year_revenue,11,0.0
other_fund_balance_adjustments,11,0.0
total_cash_receipts,11,403.8
real_estate_tax,12,10.6
total_wage_earnings_net_profits,12,144.1
realty_transfer_tax,12,22.7
sales_tax,12,44.6
business_income_and_receipts_tax,12,0.0
beverage_tax,12,6.7
other_taxes,12,4.2
locally_generated_nontax,12,19.3
total_other_governments,12,12.2
total_pica_other_governments,12,48.8
interfund_transfers,12,25.9
total_current_revenue,12,339.1
collection_of_prior_year_revenue,12,0.0
other_fund_balance_adjustments,12,0.0
total_cash_receipts,12,339.1
real_estate_tax,13,825.7
total_wage_earnings_net_profits,13,1891.9
realty_transfer_tax,13,261.8
sales_tax,13,309.5
business_income_and_receipts_tax,13,623.1
beverage_tax,13,71.5
other_taxes,13,45.6
locally_generated_nontax,13,407.6
total_other_governments,13,366.2
total_pica_other_governments,13,703.3
interfund_transfers,13,416.7
total_current_revenue,13,5922.9
collection_of_prior_year_revenue,13,-9.8
other_fund_balance_adjustments,13,0.0
total_cash_receipts,13,5913.1
